Month,Mean_Temp,SD,Microhabitat,Season
1,18.75026167,5.963791909,Shade,Winter
2,22.79662318,7.443452999,Shade,Winter
3,23.38943382,7.423808024,Shade,Spring
4,27.79070321,7.318249028,Shade,Spring
5,31.73973669,9.269092977,Shade,Spring
6,31.25190906,9.037460793,Shade,Summer
7,33.4508266,9.853310101,Shade,Summer
8,32.96151218,9.690950211,Shade,Summer
9,31.83811987,8.892513171,Shade,Summer
10,28.65973041,8.35255633,Shade,Fall
11,24.97896373,7.477930382,Shade,Fall
12,22.25220962,7.344346798,Shade,Winter
1,22.01578992,3.720500623,Open,Winter
2,18.86136694,5.410299393,Open,Winter
3,23.98906855,6.402997007,Open,Spring
4,29.24084186,8.721155706,Open,Spring
5,35.8006392,9.569739421,Open,Spring
6,37.12831781,9.532256532,Open,Summer
7,40.47853889,8.902204039,Open,Summer
8,40.13286313,8.880336702,Open,Summer
9,35.3492599,7.374620998,Open,Summer
10,31.43326899,6.770354478,Open,Fall
11,27.91633729,6.612042051,Open,Fall
12,20.201773,3.69381159,Open,Winter
